page,row_on_page,title,episode_date,summary,transcript_url,slug,episode_type,year
3,13,The 25 Best Movies of the Century: No. 12 - 'The Wolf of Wall Street,2025-09-24,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Martin Scorses...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-12-the-wolf-of-wall-street,the-25-best-movies-of-the-century-no-12-the-wolf-of-wall-street,standard,2025
3,14,We Almost Missed These 10 Movies. Should You?,2025-09-22,"On todays show, Sean and Amanda talk through 10 movies that have come out over the past few months that they havent covered on the show yet. But bef...",https://podscripts.co/podcasts/the-big-picture/we-almost-missed-these-10-movies-should-you,we-almost-missed-these-10-movies-should-you,standard,2025
3,15,The Physical Media High Council Awards,2025-09-19,"Sean is joined by Chris Ryan, Tracy Letts, and Tim Simons for a very special episode dedicated to all things physical media. They talk through the cur...",https://podscripts.co/podcasts/the-big-picture/the-physical-media-high-council-awards,the-physical-media-high-council-awards,standard,2025
3,16,The 25 Best Movies of the Century: No. 12 - 'The Royal Tenenbaums,2025-09-17,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Wes Andersons...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-12-the-royal-tenenbaums,the-25-best-movies-of-the-century-no-12-the-royal-tenenbaums,standard,2025
3,17,Is Weapons a Classic? And an Oscar Contender? Plus: The Best Movies at TIFF!,2025-09-15,Adam Nayman joins the show to recap his experience at this years Toronto International Film Festival. He breaks down the fanatical scene at the trave...,https://podscripts.co/podcasts/the-big-picture/is-weapons-a-classic-and-an-oscar-contender-plus-the-best-movies-at-tiff,is-weapons-a-classic-and-an-oscar-contender-plus-the-best-movies-at-tiff,oscar,2025
3,18,The Paul Thomas Anderson Movie Character Draft,2025-09-12,"For the first time ever, Sean, Amanda, and Chris are doing a movie character draft! Today, they draft their favorite characters from Paul Thomas Ander...",https://podscripts.co/podcasts/the-big-picture/the-paul-thomas-anderson-movie-character-draft,the-paul-thomas-anderson-movie-character-draft,draft,2025
3,19,The Robert Altman Hall of Fame,2025-09-09,"Sean and Amanda celebrate legendary filmmaker Robert Altman, who would have turned 100 this year, by breaking down his illustrious career. But first,...",https://podscripts.co/podcasts/the-big-picture/the-robert-altman-hall-of-fame,the-robert-altman-hall-of-fame,ranking,2025
3,20,"Highest 2 Lowest Is a N.Y. Movie State of Mind, With Spike Lee!",2025-09-05,"Sean and Amanda start the show by reacting to a handful of recent movie trailers, including Emerald Fennells Wuthering Heightsstarring Margot Robb...",https://podscripts.co/podcasts/the-big-picture/highest-2-lowest-is-a-ny-movie-state-of-mind-with-spike-lee,highest-2-lowest-is-a-ny-movie-state-of-mind-with-spike-lee,interview,2025
4,1,"The Best Movies at Telluride and Venice, and the 10 Most Anticipated Fall Films",2025-09-03,"Sean and Amanda are back from vacation! Today, they discuss the biggest films out of the Telluride and Venice film festivals before sharing the yet-to...",https://podscripts.co/podcasts/the-big-picture/the-best-movies-at-telluride-and-venice-and-the-10-most-anticipated-fall-films,the-best-movies-at-telluride-and-venice-and-the-10-most-anticipated-fall-films,standard,2025
4,2,The 25 Best Movies of the Century: No. 13 - 'Get Out,2025-09-01,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Jordan Peeles...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-13-get-out,the-25-best-movies-of-the-century-no-13-get-out,standard,2025
